customer_id,customer_name,account_type,transaction_amount,transaction_type,city
72,Michael Espinoza,Savings,17039.431500000002,Credit,Franciscoville
73,Daniel Pace,Savings,48428.152500000004,Debit,South Kristenshire
74,Tara Simmons,Savings,9232.797,Debit,South Audreymouth
75,Peter Esparza,Savings,1663.6095000000003,Credit,Yorkhaven
76,Angela Smith,Savings,2261.2695000000003,Debit,Stevenborough
77,Danielle Davidson,Current,21114.3555,Debit,Madelineside
78,David Rivera,Savings,30540.678000000004,Credit,North Rebecca
79,Amber Fernandez,Savings,7088.361,Credit,South Richardborough
80,Eric White,Current,40067.831999999995,Debit,Marksside
81,Curtis Harper,Current,46834.599,Credit,Williamport
82,Breanna Johnson,Savings,42639.2505,Credit,Lindseyview
83,William Diaz,Current,364.84350000000006,Credit,Jessicaland
84,Philip Brandt,Current,31540.036500000002,Credit,East Emilystad
85,George Poole,Savings,43063.618500000004,Debit,Carrietown
86,Angela Mitchell,Savings,13007.683500000001,Debit,Lake Gabrielastad
87,Patrick Hodge,Savings,17431.134000000002,Debit,East Eric
88,Mark Garrett,Savings,30006.627000000004,Debit,Lake Christinahaven
89,Alexis Trujillo,Current,9429.997500000001,Debit,East Julieburgh
90,David Russell,Current,40223.347499999996,Credit,Port Jennifershire
91,Jennifer James,Savings,20230.6755,Credit,Leefurt
92,Luis Rivas,Savings,45735.795000000006,Debit,Hudsonport
93,Olivia Reid,Current,33811.7955,Credit,New Patricia
94,James Wilson,Current,20047.6395,Debit,Brooketon
95,Brooke Mccoy,Savings,34691.1705,Debit,North Cheryl
96,Joshua Pearson,Savings,18530.0325,Credit,Ashleyberg
97,Shelia Daniels,Savings,45082.516500000005,Debit,Dianeburgh
98,Angela Huang,Current,29875.786500000002,Credit,Longview
99,Lauren Beck,Savings,28019.2815,Debit,West Danielville
100,Jessica Lambert,Savings,32648.5425,Debit,West Brandonland
101,Rachel Terry,Savings,31842.457500000004,Debit,Snowport
102,Steve Larson,Savings,43860.39000000001,Credit,Marquezmouth
103,Mark Torres,Current,39787.670999999995,Credit,Robersonburgh
104,Aaron Morgan,Current,24994.4205,Debit,South Crystalfurt
105,Christopher Navarro,Savings,41975.188500000004,Credit,Rubenberg
106,Pamela Burton,Savings,46139.814000000006,Debit,Chaseview
107,Sarah Brown,Current,45004.784999999996,Credit,North Teresaburgh
108,Linda Oliver,Current,43501.311,Debit,North Chadfurt
109,Patrick Morales,Current,45786.846,Credit,Garciaport
110,Angela Stokes,Savings,42295.848000000005,Debit,East Jonathan
111,Judith Mcgee,Savings,25560.108,Credit,Williamport
112,Jacob Rasmussen,Current,48583.983,Debit,Rhodesshire
113,Tammy Savage,Current,1901.6445,Debit,Kristenport
114,Billy Anderson,Savings,23904.3525,Credit,South Daniel
115,Jonathan Morgan,Current,46244.163,Debit,Johnsonchester
116,Barbara Flores,Savings,7281.204,Credit,North Jessica
117,Larry Galvan,Savings,45242.0745,Credit,Johnsonshire
118,Sean Miller,Savings,23552.403000000002,Debit,South Kathleenshire
119,Diane Fox,Savings,51431.751000000004,Debit,Randyfurt
120,Ian Smith Jr.,Current,51543.7125,Debit,Frederickport
121,Chase Harris,Current,27430.4205,Debit,Jamesborough
122,Christina King,Current,40350.786,Credit,Chapmanville
123,Joshua Cortez,Savings,50842.2705,Debit,Hansonville
124,Kristina Watkins,Savings,49023.7545,Debit,North Michaelhaven
125,Molly Schwartz,Savings,20359.7835,Credit,West Phillip
126,Eric Salinas,Savings,30283.008,Credit,Kristenview
127,Heather Nelson,Savings,44418.36,Credit,West Jenniferborough
128,Michael Stephens,Current,49546.78050000001,Debit,Turnershire
129,Connie Smith,Savings,31183.446000000004,Debit,Rojasshire
130,Sarah Garcia,Current,31341.870000000003,Credit,Kyleside
131,Lori Zimmerman,Current,33513.3435,Debit,Watsonmouth
132,Janice Ortiz,Savings,44591.4,Credit,North Sarah
133,Johnathan Williamson,Current,5103.273,Debit,Lake Rachel
134,Anna Wright,Current,23832.9735,Debit,East Barbara
135,Colton Wilson,Current,13903.0185,Debit,South Mindy
136,Seth Moore,Current,38029.236000000004,Debit,Wilsonside
137,Phyllis Smith,Savings,6819.0045,Credit,Watkinsport
138,Christopher Lang,Savings,36236.781,Credit,Jonesside
139,Sonia Barnes,Current,30206.8095,Debit,Vancefort
140,Kevin Hurst,Current,3999.4395,Debit,West Erinfurt
141,Nathan Gonzales,Current,12846.424500000001,Debit,Michelefort
142,Theresa Sanders,Savings,36468.421500000004,Debit,Kathychester
143,Joy Orr MD,Savings,44949.124500000005,Credit,West Victor
144,Taylor Gray,Savings,644.0175,Debit,Lake Zacharyville
145,Troy Robinson,Current,6838.8705,Credit,Powellfort
146,Jamie Wright,Savings,30598.239,Debit,Amandaville
147,Kenneth Gibson DDS,Savings,21752.073,Debit,Wilsonberg
148,Rhonda Donaldson,Current,51197.527500000004,Credit,Danielland
149,Danielle Campos,Savings,23881.221,Debit,Lucaschester
150,Dennis Wheeler,Current,33903.786,Debit,Port Davidtown
151,Rebekah Parker,Savings,30880.1535,Credit,Stephanieshire
152,Clifford Mitchell,Savings,20925.2925,Credit,Fostertown
153,Patricia Chambers,Current,15242.241,Credit,Jefferyberg
154,Nicole Anderson,Savings,15585.9375,Debit,South Chrisborough
155,Brett Taylor,Current,45971.688,Debit,West Miranda
156,Christopher Smith,Savings,45845.6565,Credit,Roychester
157,Terry Pearson,Current,10107.405,Credit,West Sara
158,Samantha Schmidt,Current,43225.098000000005,Credit,Lake Troymouth
159,Bianca Cruz,Savings,40904.199,Debit,North John
160,Cheryl Green DVM,Savings,49008.414000000004,Credit,Beckview
161,Emily Mooney,Current,31818.517499999998,Credit,Port Eric
162,Amy Maldonado,Current,41244.4305,Debit,North Marychester
163,Hunter Vargas,Current,8570.4885,Credit,Sylviaburgh
164,Cory Alvarado,Current,521.7975,Debit,South Patriciaside
165,Laura Garcia,Current,11943.456,Debit,Kylefurt
166,David Murray,Current,19269.4425,Debit,East Dawn
167,Kathryn Barr,Savings,35749.455,Credit,Bowersbury
168,Derek Nelson,Savings,48692.143500000006,Debit,Jeremystad
169,Meghan Humphrey,Current,21678.058500000003,Credit,Deborahfort
170,Samantha Moore,Current,14481.988500000001,Credit,Lewismouth
171,Kathleen Rojas,Savings,11550.1995,Credit,North Chris
172,Andre Wilson,Savings,31232.197500000002,Credit,North Mitchell
173,Christine Estrada,Savings,19970.0655,Credit,North Sarahmouth
174,Kevin Rogers,Savings,44723.973000000005,Debit,West Morgan
175,Shelby Jimenez,Savings,38179.5435,Debit,Port Jameshaven
176,Caitlin Ortiz,Current,22093.806,Debit,North Alexa
177,Jennifer Bell,Savings,18854.136000000002,Credit,Port Michaelburgh
178,Tracy Reynolds,Savings,12029.073,Credit,Lindseyborough
179,Lisa Meyer,Current,10423.738500000001,Debit,Owenburgh
180,Matthew Jackson,Current,153.4365,Credit,Dunnstad
181,Karen Alvarez,Savings,15198.1095,Debit,Carolview
182,Samantha Kennedy,Savings,40927.992000000006,Credit,North Timothy
183,Kayla Parker,Savings,40952.226,Credit,Coreyview
184,Rebecca Smith,Current,16568.916,Credit,West Charlestown
185,Donald Jones,Savings,23144.898,Credit,Jeanneton
186,Jason Schroeder,Savings,19575.822,Credit,Taramouth
187,Mary Simmons,Savings,19747.119,Credit,Port Laurietown
188,Lori Schneider,Current,14821.254,Credit,New Rachaelberg
189,Lindsey Lynch,Current,33779.9805,Credit,Dominiqueton
190,Eric James,Savings,35461.293000000005,Debit,East Matthew
191,Jennifer Copeland,Savings,28062.972,Credit,West Christopherland
192,Stephanie Morgan,Current,49592.224500000004,Debit,Lake Donna
193,Kyle Ochoa,Savings,8338.911,Credit,Shannonstad
194,Courtney Montgomery,Savings,32500.555500000002,Credit,New Susan
195,Melvin Lee,Current,37831.752,Credit,North Christine
196,David Reyes,Savings,3092.3655000000003,Debit,Butlerport
197,Kristen Patel,Current,13896.393,Debit,Castanedaview
198,Joseph Moore,Savings,33248.4285,Credit,Meltonview
199,Mason Sherman,Current,16306.164,Debit,Stephenville
200,Anna Massey,Current,38544.16650000001,Debit,Goodwinside
201,Jonathon Henderson,Savings,41758.6575,Debit,New Jeremymouth
202,Mr. Chase Stevenson,Current,49302.1515,Debit,Hubbardmouth
203,Amanda Lopez,Current,43679.6955,Debit,New Randyview
204,Sophia Smith,Current,17779.9755,Credit,Lake Tracyberg
205,Cynthia Matthews,Savings,45929.1945,Debit,Leonardstad
206,Brian Lin,Savings,40789.73850000001,Credit,Josephland
207,Marc Ryan,Current,20258.4795,Credit,West Brendan
208,Mrs. Regina Weaver DVM,Savings,7295.851500000001,Debit,Andrewburgh
209,Shawn Wang,Current,36887.886,Credit,Jonesland
210,Alicia Crane,Savings,50968.134000000005,Credit,New Gina
211,Cassandra Evans MD,Savings,28740.9675,Debit,Adamside
212,Alexander Vaughn,Current,42419.958,Debit,North Peter
213,Dustin Smith,Savings,19238.5305,Debit,Mckinneyland
214,Jordan Sheppard,Savings,8129.331000000001,Debit,Robertview
215,Mark Hamilton,Savings,45353.175,Credit,Port Leonardmouth
216,Tammy Hammond,Current,50340.3075,Debit,East Ashley
217,Dylan Murphy,Savings,6015.5025000000005,Credit,South Stacey
218,Kimberly Garcia,Current,26848.332000000002,Credit,Millerbury
219,Tiffany Hicks,Savings,32505.816,Debit,East Phillip
220,John Walker,Current,32009.124000000003,Credit,Johnsonshire
221,Paul Robinson,Current,45567.1125,Debit,Port Mary
222,Sean Mitchell,Savings,49226.498999999996,Debit,Holmesbury
223,Ernest Donaldson,Savings,34721.778000000006,Credit,Port Gina
224,Bradley Sloan,Savings,2632.3605000000002,Debit,East Sherri
225,Daniel Weiss,Savings,48429.066,Debit,North Angelicaborough
226,Raymond Cooley,Current,31744.429500000002,Debit,Medinaburgh
227,Emily Fox,Savings,38474.436,Debit,Jonesberg
228,Tiffany Jones,Current,24080.343,Debit,Nicholaschester
229,Jose Norman,Current,50395.5585,Debit,West Robin
230,Richard Moore,Savings,18580.863,Debit,Angelafort
231,Rebecca Mcknight,Current,17396.4,Credit,West Charles
232,Amanda Lopez,Current,27211.9785,Credit,Port Brianburgh
233,Monique Roach,Savings,50669.650499999996,Debit,Port Jacobside
234,Herbert Marshall,Savings,9532.719000000001,Credit,Simsshire
235,Jacob Mccullough,Savings,34742.37900000001,Debit,Jenniferfort
236,Katherine Hopkins,Savings,10476.543,Credit,East Thomas
237,Amber Parker,Current,401.06850000000003,Debit,Port David
238,Thomas Wong,Savings,24206.9625,Credit,South Catherine
239,Emily Walker,Savings,16330.5345,Debit,South Margaretfurt
240,Gregory Gonzalez,Current,50138.214,Credit,East Christine
241,Jasmine Martin,Savings,48308.37900000001,Debit,Phillipsside
242,Jeffrey Kelly MD,Savings,16041.060000000001,Credit,New Jacobfurt
243,Anne Duncan,Savings,4606.843500000001,Debit,East Rachelstad
244,Angela Williams,Current,7953.162,Credit,Port Laurie
245,Matthew Roth,Savings,47371.5375,Credit,New Courtneyshire
246,David Spencer,Savings,31568.271,Credit,Brianshire
247,Dana Thompson,Current,10418.982,Debit,Holmesbury
248,Carlos Bridges,Current,4080.2265,Credit,Port Ericberg
249,Patrick Johnson,Savings,14528.8395,Debit,Johnsonmouth
250,Matthew Rivera,Savings,32879.301,Credit,Port Kelly
251,Eric Mcgee,Savings,33423.999,Credit,Andersontown
252,Sarah Campbell,Savings,22125.6525,Debit,Rachelberg
253,Christopher Edwards,Current,4315.0485,Credit,South Amandaview
254,Joel Dixon,Savings,25204.431,Credit,South Lauren
255,Kevin Hudson,Current,40468.21800000001,Credit,Loweryhaven
256,Darius Henry,Savings,13629.2415,Credit,North Justin
257,Donald Wong,Savings,49395.297,Credit,New Elizabethtown
258,Aaron Vasquez,Savings,24435.642000000003,Debit,Wendytown
259,Jeffrey Baker,Current,44882.9115,Debit,Lopezberg
260,Brandon Pace,Current,13940.944500000001,Debit,Paulmouth
261,Dana Ellis,Current,43733.1405,Debit,West Kayla
262,Alan Kim,Savings,34274.898,Debit,Lake Shawn
263,Jamie Miller,Savings,6689.1404999999995,Debit,Brownview
264,Jordan Martin,Savings,5136.264,Credit,Port Lisa
265,Justin Rush,Current,35895.268500000006,Debit,Lake Hollyfort
266,Isabella Knight,Savings,50596.014,Debit,New Meghan
267,Jeanne Burgess PhD,Savings,37339.407,Credit,Davisport
268,Ashley Castro,Savings,178.2795,Debit,Arnoldchester
269,Jessica Bradley,Savings,30069.5745,Debit,Gregoryberg
270,David Stephenson,Current,17618.989500000003,Debit,Greenmouth
271,Sheila Johnson,Current,32809.707,Credit,South Lisa
272,Rebecca Bowman,Current,36887.00400000001,Debit,Amyfurt
273,Chad Hughes,Current,21692.622,Debit,Andersonborough
274,Shane Jones,Savings,3968.0865000000003,Credit,Port Lisa
275,Kevin Williams,Savings,27168.183,Credit,West Kathrynport
276,Bailey Boyd,Savings,20688.381,Credit,Jasmineport
277,Robert Smith,Savings,33082.182,Credit,Clementsberg
278,Michael Campbell Jr.,Current,29812.734000000004,Debit,Lake Kyle
279,Karen Ruiz,Savings,20534.913,Credit,Bonnieberg
280,Joel Morgan,Savings,44999.3985,Credit,Bendershire
281,Jesse Smith,Current,51020.00400000001,Debit,North Paulton
282,Steven Johnson,Savings,13588.2705,Credit,Marybury
283,Aaron White,Savings,34959.65550000001,Debit,Pacetown
284,Miranda Flores DVM,Current,47018.4435,Credit,Banksstad
285,Pamela Price,Current,29271.669,Credit,Lake Christopherchester
286,Amber Wright,Current,40809.825000000004,Credit,West Daniel
287,Michelle Sherman,Current,10036.887,Debit,New Timothyfort
288,Christopher Porter,Current,43298.514,Credit,Port Katelynshire
289,Shane Hall,Savings,50365.686,Debit,Shortfort
290,Anna Vaughn,Current,15752.709,Debit,Toddmouth
291,Ashley Rivas,Current,8869.9485,Debit,East Brandonfort
292,Debra Reed,Current,7434.7665,Credit,Port Stephen
293,David Morales,Current,39636.9855,Credit,North Willie
294,Jeremy Alvarez,Savings,10009.954500000002,Credit,Simmonsmouth
295,Patrick Bartlett,Current,5299.0560000000005,Credit,Williamstad
296,Perry Kennedy,Savings,34853.6265,Credit,South Kennethshire
297,Ryan Murray,Current,5454.2775,Debit,Michaelland
298,Amanda Lawrence,Savings,36290.919,Credit,Danielhaven
299,Deborah George,Savings,2041.5990000000002,Credit,West Scottfort
300,Tina Gentry,Savings,15029.7,Debit,South Seanfurt
301,Elizabeth Brown,Savings,37579.668000000005,Credit,West Laurahaven
302,David Patterson,Savings,18468.376500000002,Credit,North Sierra
303,Kiara Thornton,Savings,39048.565500000004,Debit,Ingramview
304,Angela Phillips,Savings,34737.5595,Credit,New Michaeltown
305,Joshua Dunlap,Savings,36875.86350000001,Credit,East Jenniferborough
306,Sarah Franco,Current,14806.249500000002,Debit,New Dianeborough
307,Jennifer Sanders,Current,16829.631,Debit,North Brenda
308,James Adkins,Savings,11378.3985,Credit,Jessicachester
309,James Wilson,Savings,17941.434,Credit,South Melanie
310,Patricia Boyd,Current,38513.548500000004,Debit,West Kimberlyburgh
311,Richard Bryant,Savings,38492.244,Debit,East Sean
312,Christina Gonzalez,Savings,20064.9015,Debit,South Crystal
313,Thomas Stewart,Savings,49109.455500000004,Debit,Lake Raymondport
314,Monica Vargas,Current,37265.949,Credit,North Bobby
315,Tina Pittman,Savings,13804.192500000001,Credit,Webbborough
316,Michelle Adams,Current,37259.6385,Debit,East Daniel
317,Sheryl Smith,Savings,1304.247,Credit,Lisahaven
318,Andrew Russell,Current,28429.201500000003,Debit,Lake Andrewfort
319,Dawn Rogers,Savings,31012.737,Debit,North Michele
320,Mr. Marcus Mitchell,Savings,26186.6955,Credit,South Jacobmouth
321,Elizabeth Schultz MD,Current,40514.9535,Debit,Thompsontown
322,Daniel Kaiser,Savings,16557.8175,Credit,Leeside
323,Lynn Edwards,Current,38153.650499999996,Credit,Banksville
324,Amy Cole,Current,12434.0265,Debit,West Cathy
325,Ann Chase,Savings,42951.027,Debit,Jonesshire
326,Donna Crosby,Current,14047.204500000002,Debit,East Shawn
327,Marie Fleming,Savings,16099.765500000001,Debit,New Benjaminburgh
328,Heidi Howard,Savings,7614.0225,Credit,Bullockton
329,Brian Gonzalez,Current,38404.820999999996,Credit,Kingberg
330,Sandra Mullins,Savings,45065.9475,Debit,Johnsonport
331,Amy Hicks,Current,37587.847499999996,Debit,Campbellport
332,Natalie Nguyen,Current,10270.8585,Debit,South Charleschester
333,Colleen Harris,Savings,7538.8215,Credit,Contrerasburgh
334,Mr. Jeremy Ramos MD,Current,21269.745000000003,Credit,New Erinbury
335,Kaitlin Cox,Current,42064.9845,Debit,Masonview
336,Stephen Moore,Savings,40088.076,Debit,East Leslie
337,Rebecca Shaw,Current,21420.945000000003,Credit,New Brandonside
338,Ricardo Thomas,Savings,9866.8605,Debit,New Alexander
339,James Barry,Current,41590.3005,Debit,Lake Patrick
340,Jeremiah Lewis,Savings,25807.0785,Credit,East Dylanstad
341,David Cantu,Savings,29747.004,Credit,North Nathanhaven
342,Frank Thompson,Current,37712.1045,Debit,Nelsonfort
343,Lauren Weaver,Savings,30112.7085,Credit,Port Thomasport
344,Walter Morrison,Current,3424.1865000000003,Debit,Elizabethbury
345,Shannon Chan,Savings,20924.410499999998,Credit,Martinborough
346,Katie Lewis,Current,48015.387,Debit,Gonzalesmouth
347,Sean Mcknight,Savings,50680.8225,Credit,Loganburgh
348,Felicia Green,Current,13858.477499999999,Debit,Acostaberg
349,Scott Macias,Current,13093.6785,Debit,Debrahaven
350,Tricia Murphy,Savings,9911.737500000001,Credit,Joshuachester
351,Andrew Rodriguez,Current,50984.04150000001,Debit,North Christian
352,Bradley Hernandez,Savings,19491.3285,Credit,Justinfort
353,Morgan Hunter MD,Current,25612.4085,Credit,East Sheritown
354,Christina Frazier,Current,49886.046,Debit,Moraleshaven
355,Scott Suarez,Current,10341.303000000002,Credit,Monroeton
356,Mary Cummings,Savings,19856.592,Credit,North Ann
357,Christopher Jenkins,Current,38725.092000000004,Debit,Carrollton
358,Michael Johnston,Savings,21334.446,Credit,East Alan
359,Sophia Woodward,Savings,22951.6455,Credit,South Vicki
360,James Gallegos,Savings,41961.885,Credit,Kevinville
361,Thomas Kim,Savings,20644.68,Credit,Lake Melissafurt
362,Daniel Rodriguez,Current,47847.177,Credit,Port Kevintown
363,Austin Dyer,Savings,10335.8115,Debit,East Kathy
364,Sharon Parks,Savings,48864.543000000005,Debit,Lake Tracy
365,Melissa Pearson,Savings,32980.4475,Credit,New Kyleborough
366,Danny Escobar,Current,24004.4595,Credit,South Beth
367,Amy Mosley,Current,26030.990999999998,Credit,Vernonfurt
368,Zachary Rich,Savings,23900.499000000003,Credit,Port Lindsay
369,Sierra Wolfe,Current,24430.245000000003,Credit,Kimchester
370,Stephanie Reynolds,Current,6391.686,Debit,Stevensberg
371,Leah Smith,Current,47096.007,Debit,Moorestad
372,Charles Christensen,Savings,4755.6494999999995,Debit,West Jeanetteburgh
373,William Wilson,Current,52015.06800000001,Debit,West Chelsea
374,Michael Patrick,Current,50769.1275,Debit,Cherylton
375,Stephen Welch,Current,23169.3315,Credit,Schwartzfort
376,Christopher Miles,Savings,52415.296500000004,Debit,Watkinsmouth
377,Alexander Little,Current,51464.406,Credit,North Cynthia
378,Nancy Brown,Savings,34856.262,Credit,Mcintyrehaven
379,Maxwell Holmes,Current,30991.9785,Debit,New Melindashire
380,Lindsey Jimenez,Current,48020.07000000001,Debit,Kimberlyville
381,Aaron Weeks,Current,44008.23,Credit,Katiechester
382,Bryan Rowland,Savings,45495.5865,Debit,South Daniel
383,Dr. Margaret Bailey,Savings,33301.38,Credit,Trevinoton
384,Robert Lewis,Current,5838.147000000001,Debit,Lake Michael
385,Amy Freeman,Savings,23266.204500000003,Debit,Moorechester
386,Edward Dennis,Current,27575.289,Credit,South Frederickchester
387,Heidi Henderson,Current,3687.516,Credit,Crystalhaven
388,Jaime Austin,Savings,37388.106,Debit,East Angelaton
389,Catherine Lloyd,Current,45836.195999999996,Debit,New Jameschester
390,Mary White,Savings,18191.9955,Credit,South Lawrenceshire
391,Sheila Schultz,Current,31813.215,Debit,Nortonville
392,Anthony Townsend,Current,41324.3355,Debit,Hicksland
393,Alan Chan,Current,44238.1065,Credit,Erikaton
394,Brenda Villegas,Current,48186.075000000004,Debit,South Christophertown
395,Elizabeth Khan,Savings,5995.5,Credit,Sheilabury
396,Nicholas Williams,Savings,4288.3575,Credit,Melaniefort
397,Evelyn Owens,Savings,23395.806,Debit,Port Williamborough
398,Andrea Collins,Savings,21638.3895,Credit,Walkerberg
399,Steven Anderson,Current,4923.2295,Debit,New Rachelton
400,Robert Myers,Savings,12352.9035,Credit,West Luis
401,Nicholas Salas,Savings,31909.468500000003,Debit,Allenview
402,Daniel Kim,Savings,8943.164999999999,Credit,Ashleyfort
403,Richard Carter,Savings,1829.73,Credit,Michaelview
404,Kayla Murphy,Current,46436.9325,Debit,Travishaven
405,Matthew Brown,Current,15188.943000000001,Debit,North Lisastad
406,Tony Lewis,Current,4267.662,Credit,Sylviastad
407,James Davila,Current,15849.844500000001,Credit,Mariachester
408,Tammy Mahoney,Savings,11322.013500000001,Credit,Amyton
409,Victoria Juarez,Current,19021.3905,Credit,New Ashleymouth
410,Julia Parsons,Savings,39919.4985,Debit,West Johnny
411,Joshua Berry,Current,48726.940500000004,Debit,Watsonstad
412,Amy Woodard,Savings,30005.1675,Debit,West Christopher
413,Matthew Jones,Current,32326.266,Credit,Rachaelville
414,Heather Gibson,Current,35377.503000000004,Credit,North Nathaniel
415,Aaron Rose,Savings,50749.566,Credit,East Tammy
416,Brendan Davenport,Current,51281.37,Debit,Thomasview
417,Dennis Craig,Savings,4554.133500000001,Credit,Luisland
418,Catherine Howe,Savings,49050.802500000005,Debit,West Michael
419,William Stout,Savings,50848.266,Debit,South Nicole
420,Melissa Gonzales,Current,683.865,Debit,Lake Denise
421,Barbara Chapman MD,Savings,27914.145000000004,Credit,Baileyshire
422,Charles French,Current,26809.3665,Debit,New Daniel
423,William Hill,Current,16143.057,Credit,Nicoleshire
424,Deanna Robinson,Savings,25224.2655,Debit,Charlenefurt
425,Jessica Mclaughlin,Savings,4343.6715,Debit,South Rachel
426,Joshua Briggs,Current,27159.951,Credit,Walkerfort
427,Miguel Delgado,Savings,41116.4145,Debit,Paulamouth
428,Logan Garza,Savings,20668.0425,Credit,Port Oscar
429,Brandon Robertson,Savings,2251.8825,Credit,East Christopherstad
430,Daniel Johnson,Current,27442.894500000002,Debit,New Emily
431,Lisa Robbins,Current,21729.351,Credit,Jasonfurt
432,Caitlin Turner,Savings,45842.74800000001,Debit,Davidview
433,Lisa Archer,Savings,14739.7215,Credit,New Richardmouth
434,Ashley Coleman,Current,34464.31800000001,Debit,Lake Melissa
435,Elizabeth Morgan,Current,33992.5425,Debit,Leetown
436,Todd Preston,Savings,10600.2855,Credit,New Christine
437,Craig Davis,Current,12993.561,Credit,Markport
438,Raymond Ponce,Current,42808.9095,Credit,North Carolynshire
439,Melissa Hill,Current,10454.3985,Credit,South Karen
440,Danielle Salas,Savings,14505.130500000001,Credit,Stephensstad
441,Ashley Vasquez,Current,27908.5485,Debit,New Jacobbury
442,Kelly Carter,Current,51974.4435,Credit,North Justinside
443,Alexander Robertson,Savings,17863.4925,Credit,Deborahmouth
